,région de Tanger-Tétouan-Al hoceima,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Production (en 1000 Qx),,,,,,,,,,,,,,,,,,,,,
,Cereales,Ble dur,Ble tendre,Mais,Orge,Legumineuses,Feves,Petits pois,Pois chiches,Lentilles,Tomates,Pomme de Terre,Carottes,Navet,Melon,Pastèque,Haricots verts,Fèves Vertes,Oignons,Courgettes,Concombre,Fraisier
2003-04,2603,1235.7,1043.1,15.3,598.1,67.5,131.6,35.8,91.6,9.5,,,,,,,,,,,,
2004-05,3190.1,909.1,4124.8,1.7,649.7,47.9,134.1,19.8,80.3,35.1,,,,,,,,,,,,
2005-06,2250.5,896.1,949.1,24.3,1224,124.6,20,7.8,26,35,,,,,,,,,,,,
2006-07,2651.6,727.9,853.1,19.2,601.3,120.9,69.5,17.4,38.1,1.8,,,,,,,,,,,,
2007-08,2254.9,605.8,1422.6,21.1,482.8,106.8,25.7,8.6,28,10.6,,,,,,,,,,,,
2008-09,2222.5,605.8,898.2,26.9,874.3,100.5,20.3,"14,4","39,9","6,6",,,,,,,,,,,,
2009-10,3824.4,930.5,2042.8,1.6,849.3,119.6,31,"26,5","38,9","13,5",113,247.4,27.5,12.8,559.8,96.4,1.4,18.3,81.2,13.8,0.8,93.7
2010-11,5282.9,1303.7,2082.4,34.1,1789.3,216.6,90,"22,8","61,5","21,7",,,,,,,,,,,,
2011-12,5117.3,1628.8,1901.6,0.5,1360.7,235.8,76,"38,5","39,5","7,8",,,,,,,,,,,,
2012-13,4577.6,1203.1,1422.4,22.5,1971.9,218.2,79.4,"29,1","46,7","17,9",156.2,1977.7,53,19.8,780.2,112.4,6.2,39.4,177.1,20.2,4,150.4
2013-14,5250.3,1445.8,1880.7,32.4,1038.5,265.1,64.8,"21,9","90,8","13,1",195.3,1891.9,62,28.3,723.9,316.4,6.6,51.4,200.1,53.8,6.5,173.8
2014-15,6808.8,1626.7,2701.6,20.1,2286.8,480.5,93.8,"213,7","88,5","18,6",282.7,1904.5,50.1,37.4,810.2,300.1,2.4,146.1,166.3,22,12.4,281.6
2015-16,5005.9,1651.1,1975.1,24.5,1212,277.1,62.5,"25,9","121,3","23,3",271.1,1840,34.9,28.7,827.9,217.1,2.7,53.7,142.8,15.7,7.9,281.6
